depth,mean_yrsBP,sd_age
799.8,408.32,42
800.7,408.85,42
801.6,409.38,42
802.5,409.92,42
803.4,410.45,42
804.4,410.99,42
805.3,411.52,42
806.2,412.06,42
807.1,412.59,42
808,413.13,42
809,413.66,42
809.9,414.2,41.8
810.8,414.73,41.27
811.7,415.27,41
812.6,415.8,41
813.6,416,41
814.5,416,41
815.4,416.41,41
816.3,416.94,41
817.2,417.48,41
818.2,418.01,41
819.1,418.55,41
820,419.16,41
820.9,420.23,41
821.8,421.15,40.85
822.7,421.69,40.31
823.7,422.22,40
824.6,422.76,40
825.5,423.29,40
826.4,423.83,40
827.3,424.36,40
828.3,424.9,40
829.2,425.43,40
830.1,425.96,40
831,426.5,40
831.9,427.03,39.97
832.9,427.57,39.43
833.8,428.1,39
834.7,428.64,39
835.6,429.17,39
836.5,429.71,39
837.5,430.24,39
838.4,430.78,39
839.3,431.31,39
840.2,431.85,39
841.1,432.38,39
842.1,432.92,39
843,433.45,38.55
843.9,433.99,38.01
844.8,434.52,38
845.7,435.06,38
846.6,435.59,38
847.6,436.13,38
848.5,436.66,38
849.4,437.2,38
850.3,437.73,38
851.2,438.27,38
852.2,438.8,38
853.1,439.34,37.66
854,439.87,37.13
854.9,440.41,37
855.8,440.94,37
856.8,441.48,37
857.7,442.01,37
858.6,442.55,37
859.5,443.08,37
860.4,443.61,37
861.4,444.15,37
862.3,444.68,37
863.2,445.22,36.78
864.1,445.75,36.25
865,446.29,36
866,446.82,36
866.9,447.36,36
867.8,447.89,36
868.7,448.43,36
869.6,448.96,36
870.5,449.5,36
871.5,450.03,35.97
872.4,450.57,35.43
873.3,451.1,35
874.2,451.64,35
875.1,452.17,35
876.1,452.71,35
877,453.24,35
877.9,453.78,35
878.8,454.31,35
879.7,454.85,35
881,456.14,35.38
882.3,457.75,35.92
883.6,459.8,37.35
885,461.94,38.96
886.3,464.08,40.04
887.6,466.22,41.11
889,468.36,42.18
890.3,470.38,43.25
891.7,471.98,44.32
893,473.78,45.2
894.3,475.92,45.73
895.7,478.06,46.53
897,480.2,47.6
898.3,482.34,48.67
899.7,484.48,49.74
900.6,485.81,50.4
901.5,486.88,50.94
902.3,488.42,51.47
903.1,490.02,52.01
904,491.09,52.54
904.8,492.24,53.08
905.7,493.84,53.61
906.5,495.3,54.15
907.3,496.37,54.68
908.2,497.65,55.22
909,499.26,55.75
909.8,500.57,56
910.7,501.64,56
911.5,502.71,56.36
912.3,503.78,56.89
913.2,504.85,57.43
914,505.92,57.96
914.8,507.49,58.5
915.7,509.06,59
916.5,510.13,59
917.4,511.3,59.1
918.2,512.91,59.64
919,514.34,60.17
919.9,515.41,60.71
920.7,516.48,61.24
921.5,517.55,61.78
922.4,518.93,62
